node        time
53	120
79	870
43	570
84	510
21	450
50	830
61	510
97	60
55	840
35	0
53	350
17	990
36	390
51	800
27	160
11	540
77	820
49	520
26	240
63	140
81	260
86	460
68	420
47	50
87	600
71	140
21	150
40	830
88	200
70	320
52	840
14	810
98	950
22	540
9	970
30	50
25	50
16	420
35	190
45	550
81	70
8	60
22	230
72	680
9	960
94	60
44	350
71	120
42	250
73	170
38	830
69	650
0	610
45	540
15	480
17	770
1	340
48	80
28	330
47	870
38	640
22	350
20	970
85	420
43	650
43	100
32	150
22	520
61	630
92	300
50	640
67	570
72	750
23	210
10	410
17	160
65	360
61	80
97	740
31	240
32	700
40	250
11	700
86	220
43	540
64	850
78	190
47	590
32	60
47	470
25	430
97	240
70	890
71	260
66	610
87	490
46	430
60	650
50	140
17	510
